title,Unnamed: 0,score_phrase,url,platform,score,genre,editors_choice,release_year,release_month,release_day
Aquarium,10994,Unbearable,/games/aquarium/nds-885625,Nintendo DS,1.0,Simulation,N,2008,5,1
SPOGS Racing,11244,Unbearable,/games/spogs-racing/wii-14247934,Wii,1.9,Racing,N,2008,7,7
Backyard Baseball '09,11362,Unbearable,/games/backyard-baseball-09/wii-14234501,Wii,1.0,Sports,N,2008,8,19
Falling Stars,11432,Unbearable,/games/falling-stars/ps2-14217316,PlayStation 2,1.9,RPG,N,2008,9,9
Myth Makers: Trixie in Toyland,11451,Unbearable,/games/myth-makers-trixie-in-toyland/wii-889359,Wii,1.4,Action,N,2008,9,3
Motocross Championship,12007,Unbearable,/games/motocross-championship/32x-5673,Sega 32X,1.0,Racing,N,2008,11,20
The Tale of Despereaux,12293,Unbearable,/games/the-tale-of-despereaux/ps2-14259065,PlayStation 2,1.9,Action,N,2008,12,23
Action Girlz Racing,12513,Disaster,/games/action-girlz-racing/wii-889218,Wii,0.8,Racing,N,2009,2,11
Mega Man 2,12701,Unbearable,/games/mega-man-2/iphone-14335181,iPhone,1.0,Action,N,2009,3,27
PDC World Championship Darts,13216,Unbearable,/games/pdc-world-championship-darts/ps2-908940,PlayStation 2,1.0,Sports,N,2009,7,17
Rogue Warrior,13995,Unbearable,/games/rogue-warrior/pc-849719,PC,1.5,Shooter,N,2009,12,4
Rogue Warrior,13996,Unbearable,/games/rogue-warrior/xbox-360-849720,Xbox 360,1.5,Shooter,N,2009,12,4
Rogue Warrior,13998,Unbearable,/games/rogue-warrior/ps3-849721,PlayStation 3,1.5,Shooter,N,2009,12,4
Hints Hunter,14737,Unbearable,/games/hints-hunter/dsi-76493,Nintendo DSi,1.0,Puzzle,N,2010,8,18
Rudolph the Red-Nosed Reindeer,15378,Unbearable,/games/rudolph-the-red-nosed-reindeer/wii-82533,Wii,1.5,Adventure,N,2010,12,15
Step Up,16372,Unbearable,/games/step-up/wii-122326,Wii,1.0,Sports,N,2011,11,10
Self-Defense Training Camp,16409,Unbearable,/games/self-defense-training-camp/xbox-360-119443,Xbox 360,1.0,Sports,N,2011,11,22
Rugby World Cup 2015,18402,Unbearable,/games/rugby-world-cup-2015/ps4-20042497,PlayStation 4,1.5,Sports,N,2015,9,4
