title,Unnamed: 0,score_phrase,url,platform,score,genre,editors_choice,release_year,release_month,release_day
Grand Theft Auto V,17998,Masterpiece,/games/grand-theft-auto-v/ps4-20019830,PlayStation 4,10.0,"Action, Adventure",Y,2014,11,17
Grand Theft Auto V,17999,Masterpiece,/games/grand-theft-auto-v/xbox-one-20019839,Xbox One,10.0,"Action, Adventure",Y,2014,11,17
Grand Theft Auto V,18067,Masterpiece,/games/grand-theft-auto-v/pc-20593,PC,10.0,"Action, Adventure",Y,2015,4,14
The Witness,18352,Masterpiece,/games/the-witness/ps4-23512,PlayStation 4,10.0,Puzzle,Y,2016,1,25
The Witness,18353,Masterpiece,/games/the-witness/pc-23509,PC,10.0,Puzzle,Y,2016,1,25
The Witness,18354,Masterpiece,/games/the-witness/xbox-one-20057751,Xbox One,10.0,Puzzle,Y,2016,1,25
Undertale,18417,Masterpiece,/games/undertale/pc-20003810,PC,10.0,RPG,Y,2016,1,13
Undertale,18418,Masterpiece,/games/undertale/mac-20003811,Macintosh,10.0,RPG,Y,2016,1,13
Metal Gear Solid V: The Phantom Pain,18432,Masterpiece,/games/metal-gear-solid-5/xbox-one-20000541,Xbox One,10.0,Action,Y,2015,8,24
Metal Gear Solid V: The Phantom Pain,18433,Masterpiece,/games/metal-gear-solid-5/ps4-149843,PlayStation 4,10.0,Action,Y,2015,8,24
Metal Gear Solid V: The Phantom Pain,18434,Masterpiece,/games/metal-gear-solid-5/pc-20023125,PC,10.0,Action,Y,2015,8,24
Inside,18511,Masterpiece,/games/inside-playdead/ps4-20056859,PlayStation 4,10.0,Adventure,Y,2016,6,28
Inside,18623,Masterpiece,/games/inside-playdead/xbox-one-121435,Xbox One,10.0,Adventure,Y,2016,6,28
Inside,18624,Masterpiece,/games/inside-playdead/pc-20055740,PC,10.0,Adventure,Y,2016,6,28
